T10273	Petrorhagia alpina (Hablitz) P.W.Ball & Heywood
T10274	Saussurea leptophylla Hemsl.
T10275	Saussurea leptophylla
T10276	Jurinea ancistrophylla Boiss.
T10277	Satureja spicigera
T10278	Petrorhagia armerioides subsp. euboea
T10279	Satureja
T10280	Acinos
T10281	Syncolostemon densiflorus
T10282	Nectandra caudato-acuminata
T10283	Micromeria cremnophila
T10284	Satureja vulgaris
T10285	Nectandra coriacea
T10286	Copaifera schliebenii Harms
T10287	Copaifera tessmannii
T10288	Nectandra cuspidata Nees
T10289	Nectandra krugii
T10290	Copaifera trapezifolia
T10291	Plantago linearis var. mexicana
T10292	Copaifera officinalis
T10293	Acacia cucuyo Barneby & Zanoni
T10294	Copaifera salikounda
T10295	Plantago linearis
T10296	Plantago linearis var. densa
T10297	Draba ochropetala
T10298	Plantago litorea
T10299	Cyclotrichium strausii
T10300	Cyclotrichium niveum
T10301	Prunus insititia
T10302	Micromeria parviflora
T10303	Micromeria remota
T10304	Satureja microphylla
T10305	Prunus cerasifera var. atropurpurea
T10306	Micromeria
T10307	Micromeria sinaica
T10308	Micromeria thymifolia
T10309	Cyclotrichium incanum
T10310	Sebastiania brasiliensis var. ramosissima
T10311	Sebastiania commersoniana
T10312	Prunus insiticia
T10313	Prunus spinosa X insititia
T10314	Prunus cerasifera var. myrobalana
T10315	Petrorhagia pamphylica (Boiss. & Balansa) P.W.Ball & Heywood
T10316	Gagea bithynica Pascher
T10317	Sebastiania brasiliensis
T10318	Centaurea ascalonica Bornm.
T10319	Centaurea aladaghensis Wagenitz
T10320	Copaifera
T10321	Centaurea alba subsp. albanica (Halácsy) Dostál
T10322	Centaurea amasiensis Bornm.
T10323	Copaifera mildbraedii
T10324	Centaurea akamantis T.Georgiadis & Hadjik.
T10325	Satureja glabella
T10326	Satureja eugenoides
T10327	Satureja glabrata
T10328	Satureja hochreutineri
T10329	Satureja incana
T10330	Centaurea anthemifolia Hub.-Mor.
T10331	Drimys brasiliensis subsp. brasiliensis
T10332	Satureja hispidula
T10333	Satureja horvatii subsp. macrophylla
T10334	Drimys brasiliensis subsp. sylvatica
T10335	Satureja coerulea
T10336	Satureja cristata
T10337	Lilaea scilloides
T10338	Gentiana boissieri Schott & Kotschy ex Boiss.
T10339	Drimys brasiliensis
T10340	Tetroncium magellanicum
T10341	Drosera indica
T10342	Triglochin bulbosa L.
T10343	Smilax tonduzii F.W.Apt
T10344	Amorphophallus zenkeri (Engl.) N.E.Br. subsp. zenkeri
T10345	Amorphophallus hildebrandtii (Engl.) Engl. & Gehrm.
T10346	Amorphophallus staudtii (Engl.) N.E.Br.
T10347	Smilax vanilliodora F.W.Apt
T10348	Smilax gilgiana F.W.Apt
